Timestamp,Date,Hour,Open,High,Low,Close_Futures_LTP,Volume,Security_ID,Dhan_Source,Commodity,Futures_Basis_Proxy,Basis_Diff_d1
2026-03-04 15:00,2026-03-04,15,145115.0,145115.0,145115.0,145115.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-04 16:00,2026-03-04,16,145115.0,145115.0,145115.0,145115.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-04 17:00,2026-03-04,17,145115.0,145115.0,144821.0,144821.0,1.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,-294.0,-294.0
2026-03-04 18:00,2026-03-04,18,144821.0,144821.0,144821.0,144821.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,294.0
2026-03-04 19:00,2026-03-04,19,144821.0,144821.0,144821.0,144821.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-04 20:00,2026-03-04,20,144821.0,144821.0,144300.0,144300.0,1.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,-521.0,-521.0
2026-03-04 21:00,2026-03-04,21,144300.0,144300.0,144241.0,144241.0,1.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,-59.0,462.0
2026-03-04 22:00,2026-03-04,22,144241.0,144368.0,143800.0,144368.0,2.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,127.0,186.0
2026-03-04 23:00,2026-03-04,23,144368.0,144368.0,144368.0,144368.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,-127.0
2026-03-05 09:00,2026-03-05,9,143833.0,143833.0,143772.0,143772.0,3.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,-61.0,-61.0
2026-03-05 10:00,2026-03-05,10,143772.0,143772.0,143700.0,143700.0,1.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,-72.0,-11.0
2026-03-05 11:00,2026-03-05,11,143700.0,143700.0,143000.0,143000.0,2.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,-700.0,-628.0
2026-03-05 12:00,2026-03-05,12,143000.0,143000.0,143000.0,143000.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,700.0
2026-03-05 13:00,2026-03-05,13,143000.0,143000.0,143000.0,143000.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-05 14:00,2026-03-05,14,143000.0,143326.0,143000.0,143180.0,3.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,180.0,180.0
2026-03-05 15:00,2026-03-05,15,143180.0,143180.0,143180.0,143180.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,-180.0
2026-03-05 16:00,2026-03-05,16,143180.0,143180.0,143180.0,143180.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-05 17:00,2026-03-05,17,143180.0,143180.0,142995.0,142995.0,1.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,-185.0,-185.0
2026-03-05 18:00,2026-03-05,18,142995.0,142995.0,142800.0,142800.0,1.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,-195.0,-10.0
2026-03-05 19:00,2026-03-05,19,142800.0,142800.0,142800.0,142800.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,195.0
2026-03-05 20:00,2026-03-05,20,142800.0,142800.0,142800.0,142800.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
