Date,Open,High,Low,Close_Futures_LTP,Volume,Dhan_Source,Commodity,Security_ID,Unit,Basis_Proxy,Basis_Diff_d1
2025-10-10,121001.0,122284.0,120023.0,121364.0,20095.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,363.0,1981.0
2025-10-13,123239.0,124852.0,123000.0,124629.0,16514.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,1390.0,1027.0
2025-10-14,126041.0,126930.0,124243.0,126256.0,24874.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,215.0,-1175.0
2025-10-15,126915.0,127740.0,126216.0,127210.0,16125.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,295.0,80.0
2025-10-16,127604.0,130005.0,127450.0,129852.0,18323.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,2248.0,1953.0
2025-10-17,131026.0,132294.0,125957.0,127008.0,40135.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,-4018.0,-6266.0
2025-10-20,127817.0,130749.0,126655.0,130624.0,18768.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,2807.0,6825.0
2025-10-21,128200.0,129482.0,126900.0,128271.0,4190.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,71.0,-2736.0
2025-10-22,124423.0,124423.0,120515.0,121857.0,16930.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,-2566.0,-2637.0
2025-10-23,122300.0,124600.0,122300.0,124104.0,12391.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,1804.0,4370.0
2025-10-24,123587.0,124239.0,121400.0,123451.0,16095.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,-136.0,-1940.0
2025-10-27,122500.0,122890.0,120092.0,120957.0,15516.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,-1543.0,-1407.0
2025-10-28,120106.0,120106.0,117628.0,119646.0,13046.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,-460.0,1083.0
2025-10-29,119647.0,121640.0,119351.0,120666.0,12628.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,1019.0,1479.0
2025-10-30,119125.0,121680.0,118665.0,121508.0,18063.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,2383.0,1364.0
2025-10-31,121148.0,122325.0,120628.0,121232.0,16041.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,84.0,-2299.0
2025-11-03,121435.0,122146.0,121165.0,121409.0,10668.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,-26.0,-110.0
2025-11-04,120802.0,121160.0,119150.0,119797.0,13213.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,-1005.0,-979.0
2025-11-05,120002.0,120670.0,119900.0,120522.0,4467.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,520.0,1525.0
2025-11-06,120500.0,121550.0,120125.0,120613.0,9202.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,113.0,-407.0
2025-11-10,121768.0,124157.0,121768.0,123970.0,11488.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,2202.0,2089.0
2025-11-11,124595.0,125839.0,123417.0,123913.0,10389.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,-682.0,-2884.0
2025-11-12,124300.0,126699.0,123648.0,126465.0,13127.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,2165.0,2847.0
2025-11-13,126344.0,127941.0,126182.0,126751.0,13337.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,407.0,-1758.0
2025-11-14,126748.0,127048.0,121800.0,123561.0,18445.0,Dhan HQ Paid API v2 (1-Year Daily),GOLD,483079,INR/10g,-3187.0,-3594.0
