Date,Open,High,Low,Close_Futures_LTP,Volume,Dhan_Source,Commodity,Security_ID,Unit,Basis_Proxy,Basis_Diff_d1
2025-11-06,25960.0,25970.0,25890.0,25940.0,9.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,-20.0,-20.0
2025-11-10,25550.0,25550.0,25500.0,25520.0,3.1999999999999997,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,-30.0,-10.0
2025-11-11,25040.0,25210.0,25040.0,25100.0,5.999999999999999,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,60.0,90.0
2025-11-12,24940.0,25010.0,24940.0,24980.0,4.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,40.0,-20.0
2025-11-13,25120.0,25130.0,25120.0,25120.0,5.999999999999999,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,-40.0
2025-11-14,24820.0,24820.0,24820.0,24820.0,2.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-11-17,25100.0,25150.0,25010.0,25100.0,13.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-11-18,24520.0,24830.0,24520.0,24770.0,10.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,250.0,250.0
2025-11-19,24910.0,24960.0,24900.0,24930.0,5.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,20.0,-230.0
2025-11-20,25000.0,25580.0,24910.0,24980.0,13.999999999999998,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,-20.0,-40.0
2025-11-21,24910.0,24910.0,24900.0,24910.0,5.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,20.0
2025-11-24,25020.0,25020.0,25010.0,25020.0,11.200000000000001,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-11-25,25020.0,25020.0,25020.0,25020.0,10.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-11-26,25480.0,25480.0,25160.0,25270.0,13.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,-210.0,-210.0
2025-11-27,25270.0,25270.0,25270.0,25270.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,210.0
2025-11-28,25270.0,25270.0,25270.0,25270.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-12-01,25110.0,25110.0,25110.0,25110.0,2.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-12-02,25000.0,25000.0,25000.0,25000.0,2.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-12-03,25020.0,25020.0,25020.0,25020.0,1.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-12-04,25100.0,25150.0,25100.0,25130.0,9.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,30.0,30.0
2025-12-05,25150.0,25150.0,24170.0,24330.0,7.199999999999999,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,-820.0,-850.0
2025-12-08,25100.0,25250.0,25100.0,25200.0,9.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,100.0,920.0
2025-12-09,25100.0,25150.0,25100.0,25130.0,11.200000000000001,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,30.0,-70.0
2025-12-10,25110.0,25110.0,25110.0,25110.0,4.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,-30.0
2025-12-11,25110.0,25200.0,25110.0,25160.0,10.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,50.0,50.0
2025-12-12,24180.0,25200.0,24180.0,24980.0,10.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,800.0,750.0
2025-12-15,25110.0,25410.0,25110.0,25280.0,5.999999999999999,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,170.0,-630.0
2025-12-16,25140.0,25140.0,25140.0,25140.0,2.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,-170.0
2025-12-17,25260.0,25450.0,25250.0,25280.0,10.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,20.0,20.0
2025-12-18,25260.0,25260.0,25260.0,25260.0,2.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,-20.0
2025-12-19,25260.0,25260.0,25260.0,25260.0,11.999999999999998,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-12-22,24260.0,25990.0,24260.0,24830.0,11.200000000000001,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,570.0,570.0
2025-12-23,24830.0,24830.0,24830.0,24830.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,-570.0
2025-12-24,23850.0,25810.0,23850.0,24830.0,4.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,980.0,980.0
2025-12-26,24830.0,24830.0,24830.0,24830.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,-980.0
2025-12-29,25000.0,25000.0,25000.0,25000.0,2.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-12-30,25000.0,25000.0,25000.0,25000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2025-12-31,25000.0,25000.0,25000.0,25000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-01-01,25500.0,25500.0,25500.0,25500.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-01-02,25800.0,25800.0,25510.0,25540.0,9.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,-260.0,-260.0
2026-01-05,25810.0,25810.0,25800.0,25810.0,5.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,260.0
2026-01-06,25910.0,25910.0,25910.0,25910.0,11.999999999999998,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-01-07,26010.0,26010.0,26010.0,26010.0,10.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-01-08,26020.0,26020.0,26020.0,26020.0,7.199999999999999,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-01-09,26210.0,26210.0,26210.0,26210.0,8.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-01-12,26260.0,26270.0,26260.0,26270.0,17.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,10.0,10.0
2026-01-13,26310.0,26310.0,26310.0,26310.0,4.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,-10.0
2026-01-14,26310.0,26310.0,26310.0,26310.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-01-15,26310.0,26310.0,26310.0,26310.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-01-16,26310.0,26310.0,26310.0,26310.0,10.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-01-19,25610.0,26590.0,25610.0,25940.0,3.1999999999999997,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,330.0,330.0
2026-01-20,26500.0,26700.0,26500.0,26600.0,3.1999999999999997,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,100.0,-230.0
2026-01-21,26300.0,26300.0,26200.0,26250.0,2.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,-50.0,-150.0
2026-01-22,26500.0,26500.0,26500.0,26500.0,2.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,50.0
2026-01-23,26500.0,26500.0,26500.0,26500.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-01-27,26500.0,26500.0,26500.0,26500.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-01-28,26500.0,26500.0,26500.0,26500.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-01-29,26500.0,26500.0,26500.0,26500.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-01-30,26500.0,26500.0,26500.0,26500.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-02-01,25900.0,25900.0,25900.0,25900.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-02-02,25900.0,25900.0,25900.0,25900.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-02-03,25900.0,25900.0,25900.0,25900.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-02-04,25900.0,25900.0,25900.0,25900.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-02-05,26110.0,26110.0,26110.0,26110.0,2.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-02-06,26110.0,26110.0,26110.0,26110.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-02-09,26050.0,26050.0,26050.0,26050.0,1.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-02-10,26050.0,26050.0,26050.0,26050.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-02-11,25910.0,25910.0,25910.0,25910.0,4.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-02-12,25660.0,25660.0,25660.0,25660.0,2.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-02-13,25660.0,25660.0,25660.0,25660.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-02-16,25660.0,25660.0,25660.0,25660.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-02-17,25660.0,25660.0,25650.0,25660.0,5.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-02-18,25510.0,25510.0,25500.0,25510.0,7.199999999999999,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-02-19,25410.0,25410.0,25400.0,25410.0,5.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
