Timestamp,Date,Hour,Open,High,Low,Close_Futures_LTP,Volume,Dhan_Source,Commodity,Security_ID,Unit,Futures_Basis_Proxy,Basis_Diff_d1
2026-04-15 14:00,2026-04-15,14,128397.0,128670.0,128269.0,128269.0,9.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-128.0,-154.0
2026-04-15 15:00,2026-04-15,15,128269.0,128381.0,127980.0,128152.0,12.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-117.0,11.0
2026-04-15 16:00,2026-04-15,16,128152.0,128191.0,128152.0,128191.0,1.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,39.0,156.0
2026-04-15 17:00,2026-04-15,17,128191.0,128599.0,128191.0,128599.0,4.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,408.0,369.0
2026-04-15 18:00,2026-04-15,18,128599.0,128700.0,128450.0,128700.0,18.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,101.0,-307.0
2026-04-15 19:00,2026-04-15,19,128700.0,128894.0,128612.0,128612.0,13.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-88.0,-189.0
2026-04-15 20:00,2026-04-15,20,128612.0,128612.0,128240.0,128240.0,5.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-372.0,-284.0
2026-04-15 21:00,2026-04-15,21,128240.0,128663.0,128191.0,128615.0,13.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,375.0,747.0
2026-04-15 22:00,2026-04-15,22,128615.0,128615.0,128380.0,128450.0,4.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-165.0,-540.0
2026-04-15 23:00,2026-04-15,23,128450.0,128679.0,128301.0,128400.0,10.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-50.0,115.0
2026-04-16 09:00,2026-04-16,9,128840.0,128847.0,128432.0,128639.0,18.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-201.0,-151.0
2026-04-16 10:00,2026-04-16,10,128591.0,128777.0,128591.0,128681.0,6.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,90.0,291.0
2026-04-16 11:00,2026-04-16,11,128681.0,128681.0,128533.0,128533.0,1.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-148.0,-238.0
2026-04-16 12:00,2026-04-16,12,128533.0,128533.0,128533.0,128533.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,148.0
2026-04-16 13:00,2026-04-16,13,128533.0,128533.0,128450.0,128450.0,2.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-83.0,-83.0
2026-04-16 14:00,2026-04-16,14,128425.0,128425.0,128425.0,128425.0,2.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,83.0
2026-04-16 15:00,2026-04-16,15,128425.0,128463.0,128373.0,128463.0,3.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,38.0,38.0
2026-04-16 16:00,2026-04-16,16,128463.0,128463.0,128285.0,128285.0,3.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-178.0,-216.0
2026-04-16 17:00,2026-04-16,17,128285.0,128285.0,128285.0,128285.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,178.0
2026-04-16 18:00,2026-04-16,18,128285.0,128506.0,128285.0,128371.0,3.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,86.0,86.0
2026-04-16 19:00,2026-04-16,19,128371.0,128371.0,127936.0,128131.0,6.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-240.0,-326.0
2026-04-16 20:00,2026-04-16,20,128131.0,128131.0,127694.0,128009.0,4.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-122.0,118.0
2026-04-16 21:00,2026-04-16,21,128009.0,128142.0,127910.0,128142.0,4.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,133.0,255.0
2026-04-16 22:00,2026-04-16,22,128142.0,128142.0,127645.0,127645.0,5.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-497.0,-630.0
2026-04-16 23:00,2026-04-16,23,127645.0,127795.0,127576.0,127580.0,10.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-65.0,432.0
2026-04-17 09:00,2026-04-17,9,127930.0,127930.0,127687.0,127762.0,8.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-168.0,-103.0
2026-04-17 10:00,2026-04-17,10,127762.0,127762.0,127657.0,127746.0,4.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-16.0,152.0
2026-04-17 11:00,2026-04-17,11,127746.0,127746.0,127221.0,127269.0,9.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-477.0,-461.0
2026-04-17 12:00,2026-04-17,12,127269.0,127416.0,127228.0,127350.0,8.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,81.0,558.0
2026-04-17 13:00,2026-04-17,13,127350.0,127466.0,127350.0,127416.0,2.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,66.0,-15.0
2026-04-17 14:00,2026-04-17,14,127416.0,127721.0,127416.0,127697.0,6.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,281.0,215.0
2026-04-17 15:00,2026-04-17,15,127697.0,127697.0,127514.0,127514.0,2.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-183.0,-464.0
2026-04-17 16:00,2026-04-17,16,127514.0,127727.0,127514.0,127727.0,2.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,213.0,396.0
2026-04-17 17:00,2026-04-17,17,127727.0,127727.0,127727.0,127727.0,0.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,0.0,-213.0
2026-04-17 18:00,2026-04-17,18,127727.0,129051.0,127727.0,128597.0,26.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,870.0,870.0
2026-04-17 19:00,2026-04-17,19,128598.0,128998.0,128598.0,128998.0,20.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,400.0,-470.0
2026-04-17 20:00,2026-04-17,20,128998.0,129040.0,128717.0,128846.0,26.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-152.0,-552.0
2026-04-17 21:00,2026-04-17,21,128846.0,128939.0,128599.0,128800.0,24.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-46.0,106.0
2026-04-17 22:00,2026-04-17,22,128800.0,128800.0,128496.0,128516.0,3.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-284.0,-238.0
2026-04-17 23:00,2026-04-17,23,128516.0,128724.0,128232.0,128511.0,10.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-5.0,279.0
2026-04-20 09:00,2026-04-20,9,127544.0,127839.0,127373.0,127758.0,20.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,214.0,219.0
2026-04-20 10:00,2026-04-20,10,127735.0,127735.0,127555.0,127555.0,5.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,-180.0,-394.0
2026-04-20 11:00,2026-04-20,11,127555.0,127814.0,127555.0,127814.0,3.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,259.0,439.0
2026-04-20 12:00,2026-04-20,12,127814.0,127875.0,127814.0,127875.0,2.0,Dhan HQ Paid API v2 (Client 1112620458),GOLD,562055,INR/10g,61.0,-198.0
